split,id,sel_err_px,final_err_px,shift_total_px,shift_pose_refine_px,shift_subpixel_px,shift_drift_px,shear_px,predrift_err_px,lost_by_refinement
sponsor,28,1.1000,0.1037,0.9968,0.0000,0.1204,0.8768,1.4265,0.9801,0
sponsor,29,0.7280,0.1514,0.6038,0.0000,0.3061,0.3640,1.3382,0.5116,0
sponsor,30,0.9849,0.4001,0.9070,0.0000,0.0000,0.9070,1.3545,0.9849,0
sponsor,31,1.1045,1.0709,0.5435,0.0000,0.7071,0.7130,1.0825,1.7088,0
sponsor,32,1.4036,0.4123,0.9912,0.0000,0.1140,0.8988,1.0345,1.3103,0
sponsor,33,1.0440,0.2804,1.3037,0.0000,0.3162,1.4575,1.8425,1.1807,0
sponsor,34,1.0198,0.3127,1.3199,0.0000,0.1942,1.4202,1.8170,1.1107,0
sponsor,35,1.1045,0.0740,1.0347,0.0000,0.0806,1.0724,1.3950,1.1404,0
sponsor,36,0.2236,0.4040,0.5104,0.0000,0.2955,0.7660,2.0903,0.3785,0
sponsor,37,0.5000,0.5245,0.6055,0.0000,0.7071,0.8416,2.0017,1.1180,0
sponsor,38,1.5133,0.2085,1.7122,0.0000,0.3225,1.4247,1.9910,1.2207,0
sponsor,39,0.2000,0.0259,0.1846,0.0000,0.0283,0.2035,1.6390,0.2209,0
bench,0,1.2496,0.0980,1.1656,0.0000,0.2404,0.9831,1.1961,1.0735,0
bench,1,0.4054,0.3439,0.1379,0.0000,0.2163,0.2478,0.7753,0.5881,0
bench,2,0.5316,0.0754,0.5556,0.0000,0.3329,0.8056,1.6155,0.7581,0
bench,3,101.2832,102.1537,0.8775,0.0000,0.3324,0.5529,1.4232,101.6010,0
bench,4,0.4285,0.1417,0.5689,0.0000,0.3883,0.9433,1.8021,0.8070,0
bench,5,0.5196,0.0808,0.5570,0.0000,0.1360,0.5816,1.7495,0.5278,0
bench,6,0.3184,0.1084,0.2124,0.0000,0.1503,0.3621,1.0964,0.4667,0
bench,7,0.6235,0.5645,1.1880,0.0000,0.1273,1.2745,2.4752,0.7121,0
